fluency,correctness,eye_contact,posture,head_stability,readiness
62.3,67.52,50.58,64.16,67.85,61.21
76.58,69.36,98.28,72.12,72.09,74.78
84.59,88.07,49.64,50.85,64.06,75.1
81.8,83.35,50.63,43.01,59.01,73.01
82.56,80.76,46.48,68.16,56.38,68.66
69.21,98.08,57.28,82.04,88.02,77.51
51.74,89.02,56.66,75.55,90.03,74.29
68.69,70.8,87.66,47.47,76.0,69.32
69.68,44.32,58.38,94.94,72.37,63.13
60.65,81.89,86.12,60.99,70.96,75.39
48.55,54.68,43.36,42.32,66.95,53.03
55.3,99.94,46.03,40.75,74.39,71.33
52.41,35.7,43.57,44.48,72.22,43.49
63.89,78.55,44.03,40.12,86.94,61.99
48.12,67.13,95.33,80.45,57.95,71.49
62.38,53.14,43.06,76.47,51.13,52.39
64.93,30.28,73.34,76.07,91.28,61.31
82.21,81.29,72.34,89.61,76.18,85.74
92.32,98.61,83.06,80.53,53.63,89.7
83.12,39.95,52.14,56.23,73.69,54.14
76.65,58.26,70.42,48.84,82.73,65.05
86.21,75.08,72.29,51.22,95.0,76.41
42.35,86.31,86.36,78.9,76.6,73.83
77.49,45.38,99.66,85.79,98.2,70.7
64.26,30.99,42.62,79.86,90.13,56.16
66.25,80.05,74.44,83.32,87.46,77.55
97.8,36.16,48.62,63.63,69.4,58.01
63.31,66.63,69.52,89.4,59.73,72.13
87.8,39.22,42.81,40.89,83.77,53.56
98.36,91.56,74.2,88.17,82.77,89.71
89.44,71.92,83.67,59.4,82.6,78.61
43.09,43.79,98.1,67.19,97.33,56.23
53.94,73.0,93.01,37.36,79.11,61.64
69.35,63.08,84.96,94.47,62.47,72.75
69.77,97.6,49.78,99.18,51.57,76.45
92.23,35.34,69.23,68.02,69.98,62.83
55.79,92.33,79.36,45.71,90.54,74.94
52.52,96.72,42.47,36.46,50.98,64.08
97.67,51.89,64.66,47.73,86.78,63.7
61.39,62.05,48.71,47.53,92.57,59.32
99.02,48.25,67.24,53.01,84.65,72.68
56.56,59.62,79.22,61.24,46.65,61.32
94.93,41.4,83.46,81.59,65.28,68.51
67.58,43.67,69.41,51.34,83.48,55.63
83.42,32.46,66.47,42.91,67.25,51.58
69.06,58.0,65.71,93.55,56.93,70.79
57.01,38.63,84.29,85.59,94.73,66.39
60.88,59.04,71.1,35.33,96.39,61.32
47.5,51.49,87.95,64.28,72.25,58.55
60.03,67.87,75.09,42.53,76.98,64.78
57.18,63.66,44.59,40.66,68.1,57.11
95.53,44.01,68.06,84.98,94.56,69.11
47.08,65.47,95.52,38.39,95.93,67.11
54.97,36.44,71.34,65.66,61.51,49.89
57.79,77.67,73.21,93.35,48.68,68.89
57.59,56.03,48.62,94.13,76.6,61.53
83.45,57.11,95.14,53.67,45.51,66.29
52.14,72.88,95.48,69.29,95.37,75.5
52.24,93.82,92.86,69.86,83.86,77.16
86.75,77.89,47.23,48.22,98.82,70.58
93.85,44.94,46.58,81.91,95.28,70.87
42.31,41.4,88.78,62.36,53.71,51.6
74.23,47.96,46.43,73.45,56.14,58.83
88.52,34.04,42.59,80.64,74.07,62.1
87.67,97.75,47.19,50.77,65.67,77.52
71.34,66.69,81.53,69.17,60.66,65.01
62.68,35.83,55.47,95.96,88.81,60.87
46.93,83.77,59.81,59.54,75.11,63.39
40.93,89.88,61.7,77.12,86.87,72.12
61.75,84.28,95.8,80.18,84.69,79.35
47.82,88.24,97.97,37.13,45.32,70.31
92.35,96.96,66.21,39.69,61.24,83.01
66.34,77.23,40.75,51.47,47.14,66.24
64.46,59.63,69.51,51.88,82.41,62.65
65.32,39.17,77.81,62.44,60.38,61.18
80.71,39.39,49.1,87.64,85.11,67.37
82.66,47.24,65.21,90.47,50.98,60.78
43.04,79.02,90.72,71.66,61.42,72.73
41.41,59.52,76.71,51.35,91.47,58.32
51.45,59.11,81.21,39.41,54.47,58.98
41.23,85.11,65.23,70.79,54.12,68.04
91.35,81.56,66.93,49.49,63.48,73.83
59.01,92.76,84.34,70.36,97.29,80.05
42.76,86.33,83.43,88.47,87.33,71.82
88.54,42.28,49.22,84.06,82.36,67.38
59.36,97.66,85.21,82.14,58.43,75.95
54.59,65.28,56.9,95.06,86.83,72.46
75.28,63.04,85.26,49.94,58.38,70.79
94.3,50.14,55.49,49.6,83.51,65.5
71.41,42.78,93.8,68.47,93.04,67.44
74.83,74.1,81.47,61.72,79.77,74.24
49.68,51.71,85.49,72.24,77.23,57.6
96.83,58.12,58.37,94.85,86.16,76.62
77.86,98.34,57.18,39.26,91.05,80.45
93.16,77.9,99.72,61.34,69.51,83.19
93.58,73.78,64.1,61.06,94.61,81.14
63.9,61.89,77.73,92.66,73.96,73.83
87.58,58.8,90.02,83.91,83.2,76.63
65.31,72.7,87.54,53.07,60.86,71.82
52.67,49.54,77.17,69.65,52.46,60.13
77.99,51.51,47.36,87.96,67.75,69.53
73.48,34.9,50.56,40.16,98.19,57.32
90.36,33.83,70.65,50.06,48.22,57.12
94.2,89.54,69.61,61.44,63.5,79.0
89.56,71.57,54.81,56.63,87.66,75.37
71.44,89.49,65.63,63.64,67.28,77.35
58.78,85.31,49.07,41.04,99.17,65.6
52.65,67.04,52.5,99.93,95.75,66.21
59.75,94.47,69.95,91.94,71.15,82.11
48.75,90.76,48.47,77.22,47.75,64.8
51.75,65.7,48.95,82.7,94.16,69.97
