question,role,category,difficulty
What is the difference between compilation and interpretation?,General,General Programming,Medium
Explain the concept of polymorphism.,General,General Programming,Medium
Define encapsulation and give an example.,General,General Programming,Hard
"What is an abstract class, and how is it different from an interface?",General,General Programming,Medium
Describe the principles of Object-Oriented Programming (OOP).,General,General Programming,Medium
What is the purpose of a constructor?,General,General Programming,Medium
Explain the difference between stack and heap memory.,General,General Programming,Medium
"What is a design pattern, and can you name a few?",General,General Programming,Medium
"Define the term ""DRY"" in software development.",General,General Programming,Medium
What is the SOLID principle?,General,General Program,Hard
What is the difference between an array and a linked list?,General,Data Structures,Easy
Explain the time complexity of an algorithm.,General,Data Structures,Hard
Describe the difference between a binary search tree and a hash table.,General,Data Structures,Medium
What is a linked list and how does it work?,General,Data Structures,Medium
Explain the concept of recursion.,General,Data Structures,Medium
"What is Big O notation, and why is it important?",General,Data Structures,Medium
How do you perform a binary search on a sorted array?,General,Data Structures,Hard
Discuss the advantages and disadvantages of different sorting algorithms.,General,Data Structures,Medium
Explain how a hash table works.,General,Data Structures,Medium
What is dynamic programming?,General,Data Structures,Hard
What is the difference between Java and JavaScript?,General,Languages and Frameworks,Medium
Describe the MVC architectural pattern.,General,Languages and Frameworks,Medium
What is a RESTful API?,General,Languages and Frameworks,Medium
"Explain the use of ""this"" keyword in JavaScript.",General,Languages and Frameworks,Medium
What is a closure in programming?,General,Languages and Frameworks,Medium
What are the differences between Python 2 and Python 3?,General,Languages and Frameworks,Medium
Discuss the role of a package manager like npm or pip.,General,Languages and Frameworks,Hard
Explain the concept of multi-threading in Java.,General,Languages and Frameworks,Medium
What is a Singleton pattern?,General,Languages and Frameworks,Medium
What is a virtual function in C++?,General,Languages and Frameworks,Medium
"What is a database index, and why is it important?",General,Database and SQL,Medium
Explain the differences between SQL and NoSQL databases.,General,Database and SQL,Medium
What is a foreign key in a database?,General,Database and SQL,Medium
Describe the ACID properties in database transactions.,General,Database and SQL,Hard
How do you optimize a SQL query for better performance?,General,Database and SQL,Easy
What is normalization in database design?,General,Database and SQL,Hard
Explain the difference between INNER JOIN and LEFT JOIN in SQL.,General,Database and SQL,Medium
"What is a stored procedure, and when would you use one?",General,Database and SQL,Medium
"What is database denormalization, and when is it appropriate?",General,Database and SQL,Medium
Discuss the advantages and disadvantages of using an ORM tool.,General,Database and SQL,Medium
What is the Document Object Model (DOM)?,General,Web Development,Hard
Explain the difference between HTTP and HTTPS.,General,Web Development,Medium
What is CORS (Cross-Origin Resource Sharing)?,General,Web Development,Medium
Describe the purpose of a web server like Apache or Nginx.,General,Web Development,Medium
"What is a cookie, and how does it work?",General,Web Development,Hard
What is a session in web development?,General,Web Development,Medium
Explain the concept of responsive web design.,General,Web Development,Medium
Describe the differences between GET and POST requests.,General,Web Development,Medium
What is the importance of SEO in web development?,General,Web Development,Medium
How does a web browser render a web page?,General,Web Development,Medium
"What is unit testing, and why is it important?",General,Software Testing,Medium
Explain the difference between black-box and white-box testing.,General,Software Testing,Hard
What is regression testing?,General,Software Testing,Easy
Describe the purpose of code reviews.,General,Software Testing,Hard
What is continuous integration (CI) and continuous delivery (CD)?,General,Software Testing,Medium
Explain the concept of code coverage in testing.,General,Software Testing,Medium
What is a test case and how do you write one?,General,Software Testing,Medium
"What is load testing, and why is it necessary?",General,Software Testing,Medium
Describe the differences between manual and automated testing.,General,Software Testing,Hard
What is a bug tracking system?,General,Software Testing,Medium
"What is Git, and how does it work?",General,Version Control,Medium
Explain the difference between Git and SVN (Subversion).,General,Version Control,Hard
"What is a merge conflict, and how do you resolve it in Git?",General,Version Control,Medium
Describe the purpose of branching in version control.,General,Version Control,Medium
"What is a pull request (PR), and how does it work?",General,Version Control,Medium
How do you handle code conflicts in a team project?,General,Version Control,Medium
"What is code refactoring, and why is it important?",General,Version Control,Medium
Explain the role of Git branching strategies like GitFlow.,General,Version Control,Medium
"What is Git rebase, and when would you use it?",General,Version Control,Hard
