fluency,correctness,eye_contact,posture,head_stability,readiness_score
53,93,63,61,78,73.45
72,57,41,64,42,56.4
52,42,46,44,81,50.75
92,57,74,48,59,65.5
90,84,55,63,42,71.4
46,71,77,47,46,59.55
50,59,59,73,100,65.45
56,60,77,64,44,59.95
80,78,86,75,83,79.9
40,100,56,40,58,66.1
65,90,79,49,98,78.4
65,80,79,83,96,79.7
51,63,44,94,66,62.85
59,54,67,72,61,60.7
45,76,50,79,58,63.65
73,73,41,50,53,61.75
88,40,45,96,89,66.1
66,64,80,49,41,61.1
87,66,56,75,67,70.2
61,63,60,45,87,63.05
82,71,60,51,90,71.4
95,69,61,40,54,66.4
50,99,43,73,58,70.75
90,96,56,77,57,80.1
89,91,94,61,59,81.75
51,92,84,88,68,78.4
94,74,52,68,60,71.7
78,83,64,49,90,75.1
83,67,97,78,90,79.8
84,40,51,56,97,61.4
49,56,43,80,88,61.05
59,100,82,55,54,75.45
97,63,77,87,91,79.7
97,69,74,52,60,71.45
81,86,43,61,92,75.7
46,94,71,85,92,79.3
45,40,98,98,97,66.95
100,52,100,67,81,75.4
88,49,100,63,88,72.4
60,45,56,88,96,63.75
74,50,49,43,52,53.9
46,41,53,98,73,57.15
48,47,100,52,47,55.9
43,92,84,72,83,76.65
92,52,81,58,42,63.75
50,60,50,69,77,60.4
81,44,98,84,54,67.0
63,74,94,87,77,77.2
43,46,68,55,72,53.95
45,50,80,61,68,57.85
95,74,50,62,100,76.7
98,61,79,54,41,67.05
94,79,50,81,56,74.5
67,74,59,76,40,65.55
56,42,98,54,47,55.75
96,95,69,45,71,80.2
46,81,85,62,99,74.45
76,51,64,89,74,67.1
82,41,44,76,68,58.95
80,54,67,84,77,69.1
82,51,94,96,63,72.2
62,88,76,69,52,72.75
100,71,67,46,54,69.9
57,96,98,43,76,77.55
75,91,71,92,77,82.85
80,95,42,49,83,75.35
45,46,76,86,55,57.65
64,58,78,70,80,67.3
75,80,65,48,81,72.1
44,97,63,87,55,73.5
89,74,46,61,42,66.05
53,82,69,60,41,64.8
53,43,78,56,84,58.35
83,68,65,43,66,66.5
56,67,51,72,98,67.8
63,70,70,75,40,64.85
61,44,44,97,53,56.7
89,81,78,66,48,74.95
84,81,50,62,80,73.95
94,86,42,81,100,82.35
67,68,67,74,67,68.4
68,50,47,63,87,60.65
74,78,52,96,83,76.75
82,86,76,66,75,79.05
59,100,66,58,92,79.2
92,43,66,71,47,61.05
77,96,71,44,61,75.4
49,54,55,61,91,59.75
81,48,71,92,70,67.95
62,89,64,91,55,75.05
56,98,40,93,72,76.25
68,66,64,52,79,65.95
80,78,56,96,50,73.6
63,67,56,50,76,63.35
60,96,98,82,75,83.85
71,77,94,69,91,79.25
73,70,48,89,40,65.65
50,53,52,87,80,61.4
48,65,45,77,43,57.1
41,43,42,57,90,51.6
58,49,69,79,79,62.8
80,97,91,50,62,80.4
98,66,77,67,97,78.85
79,46,77,47,83,62.95
62,50,58,62,41,54.05
43,84,95,61,52,69.2
65,89,88,76,57,77.3
70,69,93,72,60,71.9
77,64,47,45,79,63.45
74,94,73,71,80,81.3
48,98,94,94,80,84.1
63,61,63,71,64,63.65
81,81,82,49,71,74.85
60,77,57,86,97,74.95
90,45,50,77,46,59.7
41,72,48,78,47,59.35
87,66,47,40,46,60.45
86,48,72,46,83,64.15
88,53,94,74,94,75.45
81,71,91,51,65,72.1
73,67,91,43,57,66.7
53,81,60,44,100,69.55
59,45,75,78,70,61.0
71,84,53,84,80,76.15
54,50,49,45,74,53.5
97,78,72,61,95,80.9
40,85,47,43,56,59.65
82,92,80,95,48,82.05
76,48,65,82,96,68.45
86,48,60,52,78,62.5
56,41,70,60,49,52.4
70,97,75,55,77,79.0
91,91,42,64,41,72.1
77,71,92,83,95,80.75
43,40,71,96,78,59.35
42,52,64,56,50,52.1
62,58,65,100,80,69.45
78,98,59,61,81,80.05
69,42,82,76,69,62.55
45,62,58,56,99,62.65
69,54,58,53,87,62.4
66,81,96,61,43,71.55
91,87,79,73,46,78.35
82,62,67,62,67,67.5
44,92,72,73,64,72.35
96,42,71,91,90,71.7
54,89,80,44,40,66.55
100,51,53,66,68,65.9
83,65,60,66,81,70.4
93,74,64,79,52,73.75
44,52,40,71,56,52.05
76,65,74,50,53,64.5
47,76,81,100,51,70.8
92,80,65,69,65,76.25
97,85,42,52,63,72.7
48,51,97,62,71,61.95
74,57,59,55,81,64.0
64,55,62,56,65,59.5
87,88,96,78,88,87.5
82,47,89,43,84,65.25
92,41,46,46,78,58.25
49,85,67,93,81,75.7
41,51,78,53,90,59.2
71,67,91,90,51,72.45
83,52,77,69,75,67.95
83,42,80,60,52,60.1
42,45,77,96,92,63.9
97,53,49,73,58,64.95
47,88,82,43,90,72.45
69,88,88,67,83,80.3
50,86,50,94,47,68.75
88,53,47,66,63,62.55
79,71,65,91,58,72.75
59,85,88,59,84,76.2
47,55,84,52,87,62.1
48,48,68,98,63,60.75
96,68,67,53,79,72.85
97,78,81,83,76,82.7
41,64,64,85,95,67.2
48,90,83,73,61,73.65
52,59,99,83,94,72.45
69,45,58,90,78,63.45
66,40,53,92,56,57.35
80,77,64,62,51,69.5
90,42,56,56,59,58.35
93,94,56,55,95,82.4
65,99,60,57,49,72.55
90,55,67,95,57,70.1
81,76,79,66,50,72.05
64,93,79,93,63,80.6
87,69,72,83,100,79.8
