correctness,eye_contact,posture,fluency,speech_rate,pause_count,filler_count,smile_score,head_stability,confidence_label
78,81,44,90,100,6,9,92,94,74.79
50,53,32,51,132,1,7,39,57,50.53
41,93,89,50,112,11,9,31,68,58.19
66,88,71,89,159,14,13,71,66,70.27
90,84,93,32,180,18,6,30,92,65.74
78,47,33,89,93,17,9,18,72,57.81
41,89,100,73,87,14,2,87,100,68.49
75,79,33,31,85,9,3,63,82,58.22
57,73,63,91,179,13,14,57,34,58.68
47,91,69,82,103,12,8,38,34,58.58
84,94,100,38,167,0,11,17,82,66.78
50,37,64,64,112,4,9,50,47,51.65
46,41,63,62,127,4,2,53,54,53.49
40,76,32,30,84,13,6,36,28,40.39
54,44,71,80,142,6,0,61,23,56.22
69,52,44,72,108,3,12,41,90,60.82
98,57,95,71,124,20,5,37,47,70.3
83,73,59,91,154,6,13,10,46,64.01
96,32,99,56,88,4,0,60,63,65.08
63,88,61,81,141,16,9,61,31,64.64
78,31,32,85,160,16,1,11,73,55.0
62,30,48,31,132,11,9,41,89,51.74
71,97,84,85,96,5,7,78,89,76.46
61,40,45,88,149,15,12,12,39,51.46
99,88,65,48,169,2,14,28,39,64.11
71,100,81,62,119,6,1,10,30,62.85
67,86,79,52,110,9,2,16,35,58.14
65,89,31,30,127,11,4,46,51,56.19
98,38,48,77,159,2,3,33,73,64.13
95,62,53,65,117,7,3,98,44,70.73
68,47,95,83,114,15,12,50,52,63.91
43,62,43,50,127,19,7,17,26,45.14
42,46,62,77,155,18,5,31,49,50.01
77,80,83,37,106,1,4,39,47,61.19
86,93,98,90,127,18,3,44,83,80.55
88,46,73,59,172,13,4,15,56,57.48
63,75,82,89,176,19,14,94,51,67.6
62,62,96,47,104,9,14,63,77,62.3
42,75,53,61,126,1,14,36,21,51.19
65,46,62,38,122,15,6,51,45,53.28
74,79,54,53,92,6,8,45,64,60.46
59,94,37,45,93,11,2,96,34,58.23
67,95,61,92,165,18,8,67,82,71.6
100,51,87,87,165,16,3,51,89,74.36
54,83,89,37,132,11,11,14,87,59.75
45,76,84,69,131,15,12,39,38,58.31
56,92,48,87,134,4,9,71,42,66.25
48,41,30,87,80,14,1,57,20,46.46
55,90,93,92,148,2,11,35,35,65.27
90,86,58,98,126,16,13,71,88,80.66
51,45,77,68,179,0,13,32,29,48.34
93,98,63,81,174,9,9,28,77,72.05
71,30,98,33,95,15,6,11,51,49.13
66,53,41,79,114,0,0,70,70,62.8
82,41,96,94,112,7,9,52,63,69.66
68,42,41,75,81,18,1,44,100,57.59
65,37,55,63,86,3,9,84,48,55.28
95,65,50,65,89,4,8,33,83,65.47
74,78,65,53,102,4,11,64,32,61.11
62,59,46,91,163,15,8,95,32,61.39
98,48,78,41,140,8,2,85,28,65.67
46,57,81,45,148,2,11,34,71,53.32
98,82,52,45,136,6,12,62,61,70.03
97,68,43,34,114,10,10,27,95,63.95
48,87,46,36,125,12,7,51,28,51.95
89,56,95,34,108,4,5,92,27,64.73
87,94,46,100,168,12,3,45,89,74.63
99,60,48,90,133,6,10,83,38,73.47
78,96,74,42,171,19,11,81,80,68.81
80,68,30,32,156,16,8,65,52,56.46
77,35,87,73,124,12,12,56,40,62.55
55,65,48,49,136,17,14,58,33,53.36
54,60,30,83,82,15,6,66,94,58.58
51,45,53,57,87,3,9,17,77,48.18
99,79,57,70,179,16,8,42,96,71.06
67,58,42,75,114,5,1,78,66,63.53
64,95,39,85,109,17,10,14,52,60.69
93,94,47,78,90,20,9,72,78,73.97
66,78,62,30,100,15,6,15,100,56.83
44,34,32,82,102,4,4,46,93,52.5
49,46,30,80,124,12,3,71,84,58.63
88,61,63,68,105,1,5,12,69,63.12
51,94,83,34,173,16,15,56,42,54.97
54,43,95,80,117,1,5,59,49,60.82
54,80,92,81,117,0,7,88,49,69.11
94,80,34,58,83,9,7,26,93,64.39
56,98,63,35,132,1,12,52,94,64.38
90,52,84,45,87,3,7,13,75,59.72
64,96,96,56,172,17,12,60,38,63.25
60,34,71,90,101,20,5,10,24,50.5
80,41,75,63,128,13,9,54,46,62.33
48,55,76,85,173,10,14,57,80,59.42
56,55,65,30,87,16,2,61,98,54.33
86,85,43,57,166,13,7,11,45,58.57
53,88,85,36,82,14,6,27,57,53.41
74,44,93,57,153,6,8,26,63,59.21
64,46,42,54,147,9,2,27,53,51.19
86,37,69,71,120,4,5,61,45,63.98
73,88,85,88,149,4,8,42,72,72.37
61,50,99,99,83,10,13,71,43,63.64
94,38,32,60,119,4,3,33,25,55.92
41,33,35,80,141,1,14,84,27,50.39
65,80,74,73,84,5,9,77,38,63.17
59,49,41,76,80,13,15,47,56,52.21
50,32,62,35,129,9,4,32,29,44.4
83,31,42,69,81,19,0,72,92,60.88
56,38,44,53,117,2,13,58,88,55.03
99,79,38,63,155,2,2,10,59,64.15
61,89,93,40,180,13,11,39,54,57.59
60,66,34,55,141,3,8,51,37,54.0
79,68,43,61,130,5,0,32,82,64.65
54,54,46,95,157,20,7,60,58,58.81
90,99,35,96,86,18,7,51,83,73.57
91,44,58,62,173,6,10,45,48,59.07
77,86,56,84,112,3,5,75,29,68.76
44,67,42,60,126,3,12,97,71,60.32
95,44,58,37,84,14,3,85,64,61.52
41,56,65,65,105,10,10,78,39,53.6
50,67,35,52,126,13,10,21,32,48.16
79,91,89,72,155,11,3,77,24,70.31
95,66,60,38,130,13,7,50,30,62.82
62,30,75,50,169,13,3,63,76,54.55
40,92,83,84,119,14,4,56,92,67.9
92,38,81,86,105,8,2,72,44,68.52
65,67,31,36,161,1,10,26,62,50.27
98,80,83,53,104,6,3,79,52,73.01
88,58,92,51,105,17,4,58,90,69.26
56,78,49,92,140,7,0,80,20,63.19
71,42,80,85,162,16,12,39,35,58.28
79,48,47,30,157,18,14,75,57,55.83
90,92,33,30,87,6,2,41,29,56.58
49,63,84,61,129,6,12,17,84,58.83
96,96,88,83,180,2,2,17,53,71.55
74,61,75,45,147,19,4,63,33,59.15
70,84,77,36,153,6,0,32,38,57.72
87,48,65,58,139,17,1,10,66,60.32
44,49,40,31,146,11,3,14,56,42.01
77,38,82,73,178,19,9,95,43,62.35
56,59,88,43,88,7,1,34,92,56.27
93,51,33,55,137,12,1,96,56,66.57
50,99,47,71,179,8,5,43,36,55.36
76,54,56,86,110,5,10,49,31,61.25
84,82,100,39,124,16,9,94,81,75.39
97,75,93,31,133,10,0,60,72,72.05
75,55,58,50,90,7,10,45,78,58.19
78,83,84,53,101,4,7,42,55,64.84
86,49,91,55,145,20,8,82,59,68.04
56,30,90,72,121,6,2,12,63,54.68
90,41,48,73,138,16,12,26,93,64.78
96,84,76,41,141,15,7,92,27,70.56
70,50,99,54,161,11,14,68,45,60.59
80,55,76,61,89,15,6,26,42,57.13
65,36,43,36,88,18,15,81,78,52.21
62,68,47,88,96,13,14,33,79,60.73
84,32,66,72,119,11,6,24,23,56.35
68,54,42,62,95,12,9,75,74,59.46
74,71,63,59,92,12,1,41,58,60.02
85,58,91,91,136,15,7,19,49,68.31
64,34,94,78,82,12,13,39,87,59.38
57,91,66,54,127,0,4,88,92,70.22
54,78,97,41,138,4,12,52,89,63.99
78,85,92,75,167,10,13,86,44,71.44
46,81,33,88,151,19,12,72,73,61.74
92,86,70,32,85,4,4,63,66,65.9
62,78,38,49,140,9,2,59,81,61.04
56,32,61,42,168,8,3,23,30,42.4
80,85,96,58,88,2,8,85,61,71.23
48,69,54,34,90,1,7,88,57,53.18
47,34,77,47,149,4,11,57,96,54.66
67,98,69,74,175,18,9,76,75,69.33
79,69,62,35,167,18,15,49,78,59.71
98,77,70,42,124,20,9,72,46,69.77
77,89,36,34,124,18,14,32,61,59.18
49,61,82,59,118,17,3,11,97,57.48
52,41,68,95,175,12,13,36,36,52.28
79,89,93,64,149,18,13,80,93,76.6
80,92,57,89,158,4,12,31,87,71.49
59,97,93,46,91,16,9,74,41,62.44
65,79,43,93,126,11,3,61,95,71.16
46,58,40,62,85,14,14,41,70,49.4
50,87,55,75,177,3,0,22,58,55.51
54,58,58,61,81,14,13,93,41,54.97
50,56,96,85,171,20,14,89,78,64.97
59,35,48,86,148,2,10,10,77,54.34
99,67,44,63,140,2,15,34,43,64.99
51,47,44,56,151,13,8,26,72,49.75
47,56,75,79,150,2,12,73,63,60.8
92,53,89,32,99,13,14,34,97,63.98
46,46,38,67,127,20,4,11,91,51.47
50,93,50,47,173,17,13,47,51,53.23
50,74,62,70,87,10,5,60,60,57.6
56,75,61,83,165,19,0,83,59,63.93
71,31,62,59,112,12,3,35,41,52.83
78,95,67,75,94,1,9,53,68,69.99
79,90,96,35,88,5,8,41,60,63.69
89,37,79,91,163,14,10,16,94,66.43
59,33,35,87,101,2,14,50,79,55.91
81,43,41,41,92,12,2,28,74,52.95
85,74,37,82,134,18,11,91,89,75.19
57,51,66,85,138,2,11,83,54,63.87
100,83,92,36,155,16,13,94,50,73.21
97,90,53,49,116,3,11,29,79,69.49
63,79,78,80,175,8,3,75,98,69.9
73,65,35,68,121,18,2,67,31,60.02
42,47,69,50,94,0,2,35,27,44.51
75,71,73,43,157,1,6,46,88,63.7
77,70,91,89,93,6,8,93,21,69.56
78,99,46,57,145,2,4,14,84,65.66
79,85,65,74,102,14,14,20,29,61.5
42,43,39,30,84,19,7,52,95,44.74
40,86,93,57,116,14,4,85,56,62.95
88,73,85,57,158,5,11,70,39,67.73
89,31,66,49,105,0,6,44,89,61.53
76,88,98,62,130,13,11,29,72,70.79
89,72,79,58,136,6,14,65,62,71.29
89,52,73,67,163,12,3,89,69,69.48
81,37,30,37,108,5,4,95,66,58.02
73,94,84,72,153,17,1,26,45,65.82
47,76,75,97,112,0,2,40,99,67.26
53,82,77,98,169,1,1,73,89,70.2
48,62,70,77,92,8,4,86,50,59.33
80,97,33,48,149,1,1,22,42,59.5
58,30,83,100,168,20,14,74,95,64.52
97,100,44,50,98,0,0,44,63,68.65
77,40,95,75,88,2,4,35,91,64.26
87,95,99,57,172,11,4,57,56,71.14
54,73,44,72,127,5,13,52,40,58.14
62,76,44,54,115,10,2,24,87,58.66
60,42,48,63,157,3,15,61,46,53.16
68,57,64,37,95,9,3,39,37,51.27
41,78,33,36,174,11,9,48,32,43.74
70,100,92,85,121,9,7,45,87,76.34
93,36,83,30,123,12,9,56,32,59.01
94,51,50,38,105,8,14,19,61,56.83
47,53,78,55,170,4,3,59,43,51.77
58,89,68,47,98,3,9,64,88,63.43
